feature,importance
elo_diff,0.0034179272086842425
elo_prob_home,0.0025568446865938585
diff_margin_ewm,0.0019624498057412287
diff_team_win_ewm,0.0011334734448981882
diff_margin_r8,0.0007434410502535534
diff_def_points_ewm,0.0007056749278912348
diff_def_ypp_ewm,0.00044443004046442375
diff_def_pass_rate_ewm,0.0003499297423760946
diff_team_win_r3,0.00033011122331723836
diff_def_pts_per_drive_ewm,0.0003223609320481084
diff_def_yards_ewm,0.00028186641585784916
diff_def_points_r8,0.00027602901048925005
diff_off_yds_per_drive_ewm,0.00026332295077421036
diff_off_ny_a_ewm,0.00023694998674335851
diff_off_pts_per_drive_ewm,0.00022738178837244938
diff_margin_r3,0.00022200219590162718
diff_off_ypp_ewm,0.00021786209248479219
diff_def_ypp_r8,0.00020157882630633672
diff_def_ny_a_ewm,0.00019358167380267854
diff_games_played,0.00018595625301191335
diff_def_pts_per_drive_r8,0.0001786806744307571
diff_def_points_r3,0.00016699430867110157
diff_def_ny_a_r8,0.00015299075697143097
diff_def_yards_r8,0.00015145467344383304
diff_off_yds_per_drive_r3,0.0001466148251681639
diff_off_pass_rate_ewm,0.000132020906845239
diff_off_ny_a_r8,0.00013084195839493015
diff_def_pts_per_drive_r3,0.00011568522106505015
diff_def_rush_ypc_r3,0.00010090575522573679
diff_def_yards_r3,9.98544510635672e-05
diff_def_ny_a_r3,9.548698451396682e-05
diff_off_sack_rate_r8,9.017342911828614e-05
diff_def_rush_ypc_ewm,8.925913658897056e-05
diff_def_yds_per_drive_r8,8.376769838695323e-05
diff_def_rush_ypc_r8,7.512186242923195e-05
diff_off_first_downs_ewm,7.424793845426751e-05
diff_def_ypp_r3,7.135089104041518e-05
diff_off_yds_per_drive_r8,6.658043606958912e-05
diff_def_pen_yards_ewm,6.591920805543161e-05
diff_def_first_downs_ewm,6.120874460750307e-05
diff_def_pen_yards_r3,5.910263165868438e-05
diff_def_yds_per_drive_ewm,5.8230878452432876e-05
diff_def_first_downs_r8,5.069060366021579e-05
diff_team_win_r8,5.049167035098279e-05
diff_off_rush_ypc_ewm,4.20709416695253e-05
diff_off_points_r8,3.932778287100517e-05
diff_off_ypp_r8,3.612043446639864e-05
diff_off_pen_yards_r3,3.5776226507818386e-05
diff_off_first_downs_r3,3.5555592768576894e-05
diff_def_comp_pct_r8,3.5500564254868174e-05
diff_off_comp_pct_r3,3.433253193119157e-05
diff_off_rush_ypc_r3,3.2202824422807495e-05
diff_off_pass_rate_r8,3.151249002427322e-05
diff_off_rush_ypc_r8,2.9869566419630605e-05
diff_def_sack_rate_r3,2.9505242348533873e-05
diff_def_pen_yards_r8,2.7323516248715467e-05
diff_off_plays_ewm,2.728668836053198e-05
diff_off_yards_r3,2.7011459480993e-05
diff_off_top_sec_r8,2.6896013338384428e-05
diff_off_ny_a_r3,2.539728071141815e-05
diff_def_pass_rate_r8,2.524260964124429e-05
diff_off_pass_rate_r3,2.4386437941411227e-05
diff_def_turnovers_r3,1.9852873506698288e-05
diff_def_third_pct_ewm,1.936403000576033e-05
diff_def_comp_pct_ewm,1.9160910652608425e-05
diff_def_plays_ewm,1.1723770501144889e-05
diff_off_turnovers_r8,9.24206814301165e-06
match_away_off_rush_ypc,8.722670376030509e-06
diff_off_sack_rate_ewm,8.365664528701503e-06
early_season,1.623748743610302e-06
diff_off_third_pct_r3,1.1570011210955873e-06
diff_def_turnovers_r8,8.797303013100924e-07
home_field,0.0
is_postseason,-3.7047486097415333e-07
diff_rest_days,-7.718674923662405e-07
diff_def_turnovers_ewm,-9.571785233308816e-07
diff_off_comp_pct_r8,-2.109922201620762e-06
diff_off_comp_pct_ewm,-2.246946273228486e-06
match_away_off_pts_per_drive,-2.282717549095814e-06
diff_off_plays_r3,-2.4997745506905034e-06
diff_def_plays_r3,-3.952427112744831e-06
diff_off_ypp_r3,-4.499589307297806e-06
diff_def_yds_per_drive_r3,-7.129632092262028e-06
diff_def_sack_rate_ewm,-7.219373243734968e-06
diff_off_plays_r8,-7.943375029221636e-06
diff_def_third_pct_r8,-8.140955539433689e-06
diff_off_top_sec_r3,-8.215504023412201e-06
diff_def_top_sec_r8,-8.736375754825332e-06
diff_def_third_pct_r3,-1.1304337245388041e-05
diff_off_turnovers_r3,-1.1697726144695627e-05
diff_def_plays_r8,-1.9970388998554373e-05
diff_def_top_sec_ewm,-2.1671572468092332e-05
match_away_off_ypp,-2.206132131177263e-05
match_home_off_ny_a,-2.215939049791486e-05
diff_def_first_downs_r3,-2.2349923166890367e-05
match_away_off_ny_a,-2.2426164690577306e-05
diff_off_pen_yards_r8,-2.3844911354875542e-05
diff_off_points_ewm,-2.4543480180920046e-05
match_home_off_pts_per_drive,-2.4660498374277456e-05
match_home_off_turnovers,-2.4902486916111854e-05
diff_def_top_sec_r3,-2.5851181894946212e-05
diff_def_pass_rate_r3,-3.115950265793662e-05
diff_off_pts_per_drive_r3,-3.3063626646678834e-05
match_home_off_rush_ypc,-3.3561972901348845e-05
diff_def_sack_rate_r8,-3.660739404454105e-05
diff_off_pen_yards_ewm,-4.316551500456919e-05
diff_off_sack_rate_r3,-4.455958768449323e-05
diff_def_comp_pct_r3,-4.866552285272737e-05
diff_off_turnovers_ewm,-5.090172273014559e-05
diff_off_first_downs_r8,-5.722831446219878e-05
diff_off_points_r3,-5.815799120867382e-05
